FISI 2350,FISICA ATOMICA
MATE 4523,ESTAD NO PARAMET. Y REMUESTREO
IELE 2009,COMPUTACION CIENTIFICA EN IEE
ICYA 1122,MATERIALES EN INGENIERIA CIVIL
QUIM 6988,TESIS 8 (DOCTORADO)
ARTE 2110,DIBUJO Y OBJETO
ARTE 2129,GRABADO EN RELIEVE
MATE 3801,PRACTICA ENSENANZA 1
ANTR 2103,ESCUELAS ANTROPOLOGICAS I
ICYA 4716,MODEL. FLUJO Y CONT. ACUI.
IIND 3006,PROYECTO INTERMEDIO
IQUI 2300C,COMPL. ING. REACCIONES
MUSI 3511,INSTRUMENTACI�N DIGITAL
QUIM 2313,LAB. QUIMICA ORGANICA II
MUSI 3400,CONJUNTO 6
EDUC 3000,PRACTICA PEDAGOGICA
GEOC 3068,"SENSORES REMOTOS, SIG Y GPS"
CPOL 3003,MONOGRAFIA DE GRADO
FISI 2026,HERRAMIENTAS COMPUTACIONALES
ICYA 4293,PROYECTO GRADO ESTRUCTURAS
MFIN 4216,GESTION DE RIESGOS
MUSI 1401,INSTRUMENTO COMPL.2
FISI 3901,SEM.1 ASTRONOMIA Y ASTROFISICA
MATE 3993,PRACTICA EMPRESARIAL 1 (TC)
MEDI 3418,REANIMACION BASICA Y AVANZADA
ANTR 3195,INVESTIGACION DIRIGIDA GRADO
DISE 2359,COMUNICACI�N 4
IQUI 3104,CIENC. QUIM. Y BIOL. APLICADAS
CPOL 6973,EX AREA MAYOR-TEORIA POLITICA
MEDI 3543,INTERNADO SELECTIVO INVESTI. 3
CBIO 6981,TESIS DOCTORADO 2
CPOL 3600,OPCION GRADO MATERIAS MAESTRIA
MPER 4301,TRABAJO DE GRADO
QUIM 4221,NANOCIENCIAS PARA QU�MICOS
MATE 2101,ALGEBRA ABSTRACTA 1
ISIS 1104L,LAB MATEM�TICA ESTRUCT Y LOGIC
MSIN 4302,TESIS I
EDUC 4207,TESIS 2
MUSI 3606,PRODUCCION MUSICAL 1
IQUI 2301,LAB. INGENIERIA REACCIONES
IMEC 3345L,LAB DE SIST DE CONV DE ENERGIA
ARQU 1504,DIBUJO ARQUITECTONICO DIGITAL
FISI 3708,MAGNETISMO Y MATERIALES MAG.
ARTE 2113,PINTURA Y ESPACIO
MBIT 4304,PROYECTO DE EMPRENDIMIENTO
ARTE 3201,ESPACIOS ELECTRONICOS
EDUC 6023,COLOQUIO DE INVESTIGACI�N VIII
CIDE 4110,SUSTENTACI�N
IBIO 3870,PROYECTO DE DISE�O 2
ECON 2101,MICROECONOMIA 2
ADMI 2106,RESPONSABILIDAD SOCIAL
PSIC 6990,SUSTENTACI�N PROYECTO INV.
FILO 6980,TUTORIAL DE PROYECTO 3
ARQU 3820,TEORIA UI FORMA
EGOB 4110,SEMINARIO DE POSTGRADO II
PSIC 3961,PSICOPATOLOGIA
ANTR 3194,MONOGRAFIA DE GRADO
MDER 4302,TUTORIA II
FISI 3028,M�T. COMPUTACIONALES AVANZADOS
MUSI 3704,PROYECTO DE GRADO
PSIC 3815,SEM.OPCI�N GRADO PROFESIONAL
ARTE 2205,COMPOSICION EN MOVIMIENTO
ARTE 3205,ANIMACION
IQUI 2104,LAB. FENOMENOS TRANSPORTE 2
ISIS 4514,SEMANTIC WEB
CPOL 3993,PRACTICA DE GRADO
MEDI 1101,INTRODUC.A LA PROFESION MEDICA
ECON 3730,SEM TEMAS MONETARIOS-BANCARIOS
MEDI 3113,HABILIDADES DE COMUNICACION II
MUSI 2620,AC�STICA MUSICAL
ARQU 1302,TALLER TECNICO 2
CPOL 6972,EX AREA MAYOR-RELACIONES INTER
IBIO 2240,PROGRAMACION CIENTIFICA
ARTE 3118,FOTO DOCUMENTAL
MUSI 2417,INSTRUMENTO 7 - 15
MUSI 1603,TECLADO 4
