course_code,name,program_id
FISI 2350,FISICA ATOMICA,1
MATE 4523,ESTAD NO PARAMET. Y REMUESTREO,2
IELE 2009,COMPUTACION CIENTIFICA EN IEE,3
ICYA 1122,MATERIALES EN INGENIERIA CIVIL,4
QUIM 6988,TESIS 8 (DOCTORADO),5
ARTE 2110,DIBUJO Y OBJETO,6
ARTE 2129,GRABADO EN RELIEVE,6
MATE 3801,PRACTICA ENSENANZA 1,2
ANTR 2103,ESCUELAS ANTROPOLOGICAS I,7
ICYA 4716,MODEL. FLUJO Y CONT. ACUI.,4
IIND 3006,PROYECTO INTERMEDIO,8
IQUI 2300C,COMPL. ING. REACCIONES,9
MUSI 3511,INSTRUMENTACI�N DIGITAL,10
QUIM 2313,LAB. QUIMICA ORGANICA II,5
MUSI 3400,CONJUNTO 6,10
EDUC 3000,PRACTICA PEDAGOGICA,11
GEOC 3068,SENSORES REMOTOS SIG Y GPS,12
CPOL 3003,MONOGRAFIA DE GRADO,13
FISI 2026,HERRAMIENTAS COMPUTACIONALES,1
ICYA 4293,PROYECTO GRADO ESTRUCTURAS,4
MFIN 4216,GESTION DE RIESGOS,14
MUSI 1401,INSTRUMENTO COMPL.2,10
FISI 3901,SEM.1 ASTRONOMIA Y ASTROFISICA,1
MATE 3993,PRACTICA EMPRESARIAL 1 (TC),2
MEDI 3418,REANIMACION BASICA Y AVANZADA,15
ANTR 3195,INVESTIGACION DIRIGIDA GRADO,7
DISE 2359,COMUNICACI�N 4,16
IQUI 3104,CIENC. QUIM. Y BIOL. APLICADAS,9
CPOL 6973,EX AREA MAYOR-TEORIA POLITICA,13
MEDI 3543,INTERNADO SELECTIVO INVESTI. 3,15
CBIO 6981,TESIS DOCTORADO 2,17
CPOL 3600,OPCION GRADO MATERIAS MAESTRIA,13
MPER 4301,TRABAJO DE GRADO,18
QUIM 4221,NANOCIENCIAS PARA QU�MICOS,5
MATE 2101,ALGEBRA ABSTRACTA 1,2
ISIS 1104L,LAB MATEM�TICA ESTRUCT Y LOGIC,19
MSIN 4302,TESIS I,20
EDUC 4207,TESIS 2,11
MUSI 3606,PRODUCCION MUSICAL 1,10
IQUI 2301,LAB. INGENIERIA REACCIONES,9
IMEC 3345L,LAB DE SIST DE CONV DE ENERGIA,21
ARQU 1504,DIBUJO ARQUITECTONICO DIGITAL,22
FISI 3708,MAGNETISMO Y MATERIALES MAG.,1
ARTE 2113,PINTURA Y ESPACIO,6
MBIT 4304,PROYECTO DE EMPRENDIMIENTO,23
ARTE 3201,ESPACIOS ELECTRONICOS,6
EDUC 6023,COLOQUIO DE INVESTIGACI�N VIII,11
CIDE 4110,SUSTENTACI�N,24
IBIO 3870,PROYECTO DE DISE�O 2,25
ECON 2101,MICROECONOMIA 2,26
ADMI 2106,RESPONSABILIDAD SOCIAL,27
PSIC 6990,SUSTENTACI�N PROYECTO INV.,28
FILO 6980,TUTORIAL DE PROYECTO 3,29
ARQU 3820,TEORIA UI FORMA,22
EGOB 4110,SEMINARIO DE POSTGRADO II,30
PSIC 3961,PSICOPATOLOGIA,28
ANTR 3194,MONOGRAFIA DE GRADO,7
MDER 4302,TUTORIA II,31
FISI 3028,M�T. COMPUTACIONALES AVANZADOS,1
MUSI 3704,PROYECTO DE GRADO,10
PSIC 3815,SEM.OPCI�N GRADO PROFESIONAL,28
ARTE 2205,COMPOSICION EN MOVIMIENTO,6
ARTE 3205,ANIMACION,6
IQUI 2104,LAB. FENOMENOS TRANSPORTE 2,9
ISIS 4514,SEMANTIC WEB,19
CPOL 3993,PRACTICA DE GRADO,13
MEDI 1101,INTRODUC.A LA PROFESION MEDICA,15
ECON 3730,SEM TEMAS MONETARIOS-BANCARIOS,26
MEDI 3113,HABILIDADES DE COMUNICACION II,15
MUSI 2620,AC�STICA MUSICAL,10
ARQU 1302,TALLER TECNICO 2,22
CPOL 6972,EX AREA MAYOR-RELACIONES INTER,13
IBIO 2240,PROGRAMACION CIENTIFICA,25
ARTE 3118,FOTO DOCUMENTAL,6
MUSI 2417,INSTRUMENTO 7 - 15,10
MUSI 1603,TECLADO 4,10
IIND 3001,PROYECTO DE GRADO 2,8
ANTR 3188,TRABAJ DIRIG EN ZOOARQUEOLOGIA,7
ECON 3739,SEM SINDICALISMO Y MOV.SOCIALE,26
HIST 3103,SEMINARIO MONOGRAFIA DE GRADO,32
ICYA 4136,MODELAC. CONTAMINACION ATMOSF.,4
LENG 2117,ADVANCED EFFECTIVE SPEAKING,33
ARQU 4302,TESIS 2,22
MUSI 2210,CONTRAPUNTO AVANZADO 1,10
SPUB 4105,EPIDEMIOLOG�A AVANZADA,34
GEOC 2029,LAB MINER. FORMADORES DE ROCAS,12
PSIC 3705,TRABAJO DE GRADO 1 06,28
MEDI 1103,ETICA MEDICA Y PROFESIONALI. I,15
DISE 3149,E7: CHALLENGING EXTREMISM,16
FISI 4099,TRABAJO DE GRADO (2),1
FISI 3152,FISICA DE PARTICULAS,1
IIND 2301C,REFUERZO DIN�MICA DE SISTEMAS,8
PSIC 3706,TRABAJO DE GRADO 2 06,28
ICYA 3107,PRERREQUISITO PROYECTO IAMB,4
ICYA 4318,CONSTRUCCI�N SOSTENIBLE: HERRA,4
ANTR 2201,ARQUEOLOGIA COMPARADA,7
HIST 6990,SUSTENTACI�N DE TESIS,32
IQUI 3991,PRACTICA PROFESIONAL 6,9
IIND 4200,MODELOS CONTROL PRODUCC.,8
MATE 1215,CALC. INTEGR-ECUAC.DIFER (HON),2
IELE 4001,SEMINARIO MAG�STER 1,3
ICYA 3102,PROYECTO DE GRADO ING. CIVIL,4
ICYA 2001,MODELACION Y ANALISIS NUMERICO,4
MUSI 3813,LITERATURA VOCAL 6,10
LENG 2311,ALEMAN 5,33
LENG 1302,ALEMAN 2,33
DERE 3834,CJ-I CONCILIACION,35
ANTR 3191,METODOLOGIA DE PRACTICA,7
CONT 1221,TALLER DE COMUNICACI�N ORAL,36
PSIC 2318,MOTIVACI�N,28
IIND 3202,GERENCIA DE PRODUCCION,8
ICYA 3305,ESTRUCTURAS GEOTECNICAS,4
MBIT 4207,NEGOCIO PRODUCCI�N OPERACI�N,23
IIND 4100,MODELOS ESTADIST.LINEALES,8
