Id,Code
1,FISI
2,MATE
3,IELE
4,ICYA
5,QUIM
6,ARTE
7,ANTR
8,IIND
9,IQUI
10,MUSI
11,EDUC
12,GEOC
13,CPOL
14,MFIN
15,MEDI
16,DISE
17,CBIO
18,MPER
19,ISIS
20,MSIN
21,IMEC
22,ARQU
23,MBIT
24,CIDE
25,IBIO
26,ECON
27,ADMI
28,PSIC
29,FILO
30,EGOB
31,MDER
32,HIST
33,LENG
34,SPUB
35,DERE
36,CONT
37,MBIO
38,PSCL
39,ARTI
40,MISO
41,BIOL
42,MECA
43,LITE
44,MIAD
45,MIIA
46,DADM
47,MTRI
48,MADM
49,DDER
50,EMAT
51,RJUR
52,MINE
53,MGPD
54,HART
55,IGEN
56,MGEO
57,BCOM
58,CSOF
59,DPUB
60,MECU
61,MGAP
62,DECA
63,MDIS
64,DEIN
65,MMER
66,MLIT
